title,location,size,price
5 Bed Townhouse with En Suite in Lavington,Lavington,5 BEDROOM APARTMENT FOR RENT IN LAVINGTON WITH...,250000.0
4 Bed Townhouse with En Suite in Lavington,Lavington,4 BEDROOM TOWNHOUSE FOR RENT IN LAVINGTON WITH...,400000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,5 BEDROOM TOWNHOUSE FOR RENT IN LAVINGTON WITH...,300000.0
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",4 BEDROOM TOWNHOUSE FOR RENT IN RUNDA WITH DSQ,250000.0
4 Bed House with En Suite at Nyari,"nyari, Nyari, Westlands",Magnificent Nyari Four Bedroom Stand Alone Hous...,330000.0
3 Bed House with En Suite at Nyari,"nyari, Nyari, Westlands",Modern Nyari 3-Bedroom Furnished and Brand New...,450000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,5 Bedroom Townhouse For Rent in Lavington,250000.0
5 Bed House with En Suite at Nyari,"nyari, Nyari, Westlands",Beautiful Five Bedroom Stand-Alone Home in Nyar...,330000.0
1 Bed House with En Suite at Nyari,"nyari, Nyari, Westlands",FULLY FURNISHED 1-BEDROOM GUEST WING TO LET IN...,100000.0
3 Bed Villa with En Suite in Kiambu Road,Kiambu Road,EDENVILLE ESTATE 500M OFF KIAMBU ROAD FOR RENT,120000.0
5 Bed Villa with En Suite at Fourways Junction,"Fourways Junction, Kiambu Road",5 Bedroom Villa at Fourways Junction (with DSQ),135000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,5 Bedroom townhouse plus SQ,300000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,5 Bedroom townhouse to let in Lavington,325000.0
4 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands",4 bedroom townhouse to rent in kyuna,190000.0
3 Bed Villa with En Suite at La-Marina Mtwapa,"La-marina creekside Beach Estate, La-marina Mtwapa, Mtwapa",3 Bedroom Own compound cottage available for Ho...,28000.0
1 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",FULLY FURNISHED 1 BEDROOM COTTAGE FOR RENT LOWE...,120000.0
4 Bed House with En Suite in Riverside,"Riverside, Westlands",4 bedroom unfurnished house to rent in Riversid...,250000.0
3 Bed House with En Suite at Nyali,"nyali, Nyali Area, Nyali","To let 3 bedroom modern apartment with a pool,...",80000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",4 bedroom house plus 3 bedroom guest wing to re...,400000.0
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",4 Bedroom maisonette to let in Rosslyn,250000.0
3 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",3 bedroom cottage to rent in kitisuru,250000.0
4 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands",4 bedroom townhouse to rent in kyuna,270000.0
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",5 bedroom townhouse to rent in lower Kabete,560000.0
5 Bed Townhouse with En Suite in Lake View,"Lake View, Westlands",5 bedroom townhouse to rent in Lakeview,570000.0
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",4 bedroom townhouse to rent in spring valley,400000.0
5 Bed Townhouse with En Suite in Runda,"Runda, Westlands",Magnificent 5 Bedroom townhouse to let in Runda,370000.0
5 Bed Townhouse with Garden in Lavington,Lavington,EXECUTIVE 5 BEDROOMS TOWNHOUSE PLUS DSQ FOR REN...,170000.0
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",4 bedroom townhouse to rent in kitisuru,400000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",4 bedroom house to rent in runda,350000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,Modern 5 Bedroom townhouse to let in Lavington,350000.0
7 Bed House with Garden in Runda,"Runda, Westlands",7 bedrooms ambassadorial house to rent in runda,450000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,5 Bedroom townhouse for rent in Lavington,290000.0
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",5 bedroom townhouse to rent in lower Kabete,450000.0
5 Bed Townhouse with En Suite in Gigiri,"Gigiri, Westlands",5 bedroom townhouse to rent in gigiri,550000.0
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",4 bedroom townhouse to rent in runda,350000.0
4 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",4 bedroom townhouse to rent in eldama lavine we...,230000.0
4 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands",4 Bedroom Townhouse for rent in Kyuna Nairobi,270000.0
5 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",5 bedroom townhouse to rent in spring valley,380000.0
6 Bed Townhouse with En Suite at Kentmere Club,"Kentmere club, Tigoni, Limuru","6 Bedroom Townhouse, Tigoni",330000.0
5 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",5 bedroom townhouse to rent in spring valley,380000.0
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",4 bedroom townhouse to rent in spring valley,280000.0
7 Bed Villa with En Suite in Karen,Karen,7 Bedroom Villa Suitable For An Office,300000.0
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",4 Bedroom Townhouse to let in Kitisuru in a gat...,530000.0
4 Bed Townhouse with En Suite in Rosslyn,"Rosslyn, Westlands",4 bedroom townhouse to rent in Rosslyn,330000.0
6 Bed House with En Suite in Runda,"Runda, Westlands",6 bedroom unfurnished house to rent in Runda,540000.0
5 Bed Townhouse with En Suite in Runda,"Runda, Westlands",5 Bedroom standalone townhouse to let in Runda,450000.0
7 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands",Magnificent 6 Bedroom townhouse for rent in Kyu...,480000.0
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",4 Bedroom Townhouse to Let in Spring Valley Nai...,250000.0
4 Bed Townhouse with En Suite in Gigiri,"Gigiri, Westlands",4 bedroom townhouse to rent in gigiri,530000.0
5 Bed House with En Suite in Karen,Karen,5 Bedroom house to let in Karen,450000.0
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",4 bedroom townhouse to rent in spring valley,250000.0
4 Bed House with Garden in Muthaiga,Muthaiga,4 bedroom house to rent in old muthaiga,390000.0
4 Bed House with En Suite in Nyari,"Nyari, Westlands",4 bedroom house to rent in nyari,300000.0
5 Bed House with En Suite in Muthaiga,Muthaiga,5 bedroom house to rent in muthaiga,500000.0
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",5 bedroom townhouse to rent in lower Kabete,450000.0
5 Bed Townhouse with En Suite in Rosslyn,"Rosslyn, Westlands",5 bedroom modern semi furnished townhouse to re...,550000.0
5 Bed House with En Suite in Riverside,"Riverside, Westlands",5 bedroom house to rent in Riverside (Kenya) 3...,180000.0
